qualification,skills,career
B.Tech Computer Science,Python, Java, Machine Learning,Data Scientist
B.Tech IT,HTML, CSS, JavaScript, React JS,Frontend Developer
B.Sc Mathematics,Data Analysis, SQL, Excel,Data Analyst
BBA,Communication, Leadership, Sales,Marketing Manager
B.Com,Tally, Accounting, Excel,Accountant
B.Tech ECE,Embedded Systems, VLSI, Electronics Engineer
B.Tech CSE,AI, Python, NLP,AI Researcher
MBA,Management, Finance,Leadership,Business Analyst
B.Sc Statistics,R, Python, Statistics,Statistician
B.Tech ME,AutoCAD, Mechanical Design,Mechanical Engineer
B.Tech EEE,Power Systems, MATLAB,Electrical Engineer
MBBS,Diagnosis, Surgery,Patient Care,Doctor
BDS,Dentistry, Hygiene,Dentist
BPT,Physiotherapy,Exercise Therapy,Physiotherapist
B.Sc Nursing,Patient Care, Nursing Skills,Nurse
LLB,Law, Legal Writing,Lawyer
BA English,Writing, Editing,Content Writer
BFA,Design, Creativity,Graphic Designer
B.Arch,AutoCAD, Architecture,Architect
B.Sc Agriculture,Farming, Soil Science,Agriculture Officer
B.Ed,Teaching, Pedagogy,Teacher
Diploma in Computer Applications,MS Office, Typing,Computer Operator
BCA,Web Development, PHP, Full Stack Developer
B.Sc Computer Science,Networking, Security,Cybersecurity Analyst
BHM,Hotel Management,Customer Service,Hotel Manager
B.Sc Chemistry,Laboratory, Research,Chemist
B.Sc Physics,Research, Data Analysis,Physicist
B.Sc Biology,Laboratory, Botany,Biologist
B.Pharm,Pharmacy, Medicine,Pharmacist
CA,Accounting, Auditing,Chartered Accountant
CS,Corporate Law, Compliance,Company Secretary
CMA,Costing, Finance,Cost Accountant
M.Tech VLSI,VLSI, HDL,Chip Design Engineer
B.Tech Civil,AutoCAD, Site Management,Civil Engineer
B.Sc Nutrition,Nutrition, Diet,Dietitian
B.Sc Psychology,Counseling, Mental Health,Psychologist
BA History,Research, Documentation,Historian
B.Sc Geology,Field Work, GIS,Geologist
B.Des,Design Thinking, UX,UI/UX Designer
B.Sc Animation,Animation, Video Editing,Animator
